GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADREE001,ADRKE001,NAME_M,ADREM001,ADRKM001
"G0100010020100","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020100",,,"Census Tract 201, Autauga County, Alabama",508,719,"Census Tract 201, Autauga County, Alabama",139,126
"G0100010020200","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020200",,,"Census Tract 202, Autauga County, Alabama",557,805,"Census Tract 202, Autauga County, Alabama",162,147
"G0100010020300","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020300",,,"Census Tract 203, Autauga County, Alabama",545,738,"Census Tract 203, Autauga County, Alabama",123,167
"G0100010020400","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020400",,,"Census Tract 204, Autauga County, Alabama",827,1095,"Census Tract 204, Autauga County, Alabama",120,165
"G0100010020500","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020500",,,"Census Tract 205, Autauga County, Alabama",832,959,"Census Tract 205, Autauga County, Alabama",70,77
"G0100010020600","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020600",,,"Census Tract 206, Autauga County, Alabama",608,784,"Census Tract 206, Autauga County, Alabama",95,135
"G0100010020700","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020700",,,"Census Tract 207, Autauga County, Alabama",480,678,"Census Tract 207, Autauga County, Alabama",36,86
"G0100010020801","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020801",,,"Census Tract 208.01, Autauga County, Alabama",451,658,"Census Tract 208.01, Autauga County, Alabama",138,228
"G0100010020802","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020802",,,"Census Tract 208.02, Autauga County, Alabama",843,1069,"Census Tract 208.02, Autauga County, Alabama",367,256
"G0100010020900","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"020900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001020900",,,"Census Tract 209, Autauga County, Alabama",434,709,"Census Tract 209, Autauga County, Alabama",68,185
"G0100010021000","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"021000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001021000",,,"Census Tract 210, Autauga County, Alabama",328,528,"Census Tract 210, Autauga County, Alabama",264,452
"G0100010021100","2011-2015","AL",,,"Alabama","01","Autauga County","001",,,"021100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01001021100",,,"Census Tract 211, Autauga County, Alabama",297,525,"Census Tract 211, Autauga County, Alabama",59,128
"G0100030010100","2011-2015","AL",,,"Alabama","01","Baldwin County","003",,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01003010100",,,"Census Tract 101, Baldwin County, Alabama",243,,"Census Tract 101, Baldwin County, Alabama",218,
"G0100030010200","2011-2015","AL",,,"Alabama","01","Baldwin County","003",,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01003010200",,,"Census Tract 102, Baldwin County, Alabama",448,625,"Census Tract 102, Baldwin County, Alabama",29,23
"G0100030010300","2011-2015","AL",,,"Alabama","01","Baldwin County","003",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01003010300",,,"Census Tract 103, Baldwin County, Alabama",723,946,"Census Tract 103, Baldwin County, Alabama",416,477
"G0100030010400","2011-2015","AL",,,"Alabama","01","Baldwin County","003",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01003010400",,,"Census Tract 104, Baldwin County, Alabama",554,888,"Census Tract 104, Baldwin County, Alabama",144,82
"G0100030010500","2011-2015","AL",,,"Alabama","01","Baldwin County","003",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US01003010500",,,"Census Tract 105, Baldwin County, Alabama",475,626,"Census Tract 105, Baldwin County, Alabama",136,89
